book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,,genre
6253,24709327,24709327,44329910,20,9385152149,9.78939E+12,Amish Tripathi,2015,,"Scion of Ikshvaku (RamChandra, #1)",eng,3.69,12458,16762,1379,443,1413,4974,6029,3903,https://images.gr-assets.com/books/1428418378m/24709327.jpg,https://images.gr-assets.com/books/1428418378s/24709327.jpg,,fiction
4685,12872236,12872236,18024855,64,61692042,9.78006E+12,Richard Ford,2012,Canada,Canada,eng,3.49,18396,21456,3213,885,2694,6618,7567,3692,https://images.gr-assets.com/books/1327927048m/12872236.jpg,https://images.gr-assets.com/books/1327927048s/12872236.jpg,,fiction
1732,209194,209194,995869,149,7151667,9.78001E+12,Agatha Christie,1924,The Man in the Brown Suit,The Man in the Brown Suit,eng,3.97,56053,58728,1072,1390,2894,13344,19619,21481,https://images.gr-assets.com/books/1390018729m/209194.jpg,https://images.gr-assets.com/books/1390018729s/209194.jpg,,mystery
4743,6441654,6441654,6631596,11,470484233,9.78047E+12,"Rebecca Housel, J. Jeremy Wisnewski, William Irwin",2009,"Twilight and Philosophy: Vampires, Vegetarians, and the Pursuit of Immortality (The Blackwell Philosophy and Pop Culture Series)","Twilight and Philosophy: Vampires, Vegetarians, and the Pursuit of Immortality",en-US,4.39,18027,18054,39,444,651,2157,2953,11849,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,philosophy
4522,25451555,25451555,45216378,17,1632154382,9.78163E+12,"Brian K. Vaughan, Fiona Staples",2015,"Saga, Volume Five","Saga, Vol. 5 (Saga, #5)",eng,4.44,29429,30292,2570,154,389,2442,10419,16888,https://images.gr-assets.com/books/1486028990m/25451555.jpg,https://images.gr-assets.com/books/1486028990s/25451555.jpg,,fiction
6341,71292,71292,2150655,98,752866052,9.78075E+12,"René Goscinny, Albert Uderzo, Anthea Bell, Derek Hockridge",1960,Astérix le Gaulois,"Asterix the Gaul (Asterix, #1)",eng,4.18,16011,17468,339,150,499,3061,6054,7704,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,comic
577,84981,84981,1955922,127,374480095,9.78037E+12,Natalie Babbitt,1975,Tuck Everlasting,Tuck Everlasting,eng,3.85,174280,184056,7187,3823,12462,46988,64213,56570,https://images.gr-assets.com/books/1445184695m/84981.jpg,https://images.gr-assets.com/books/1445184695s/84981.jpg,,fantasy
5203,651260,651260,418831,37,345383273,9.78035E+12,David Eddings,1992,Domes of Fire,"Domes of Fire (The Tamuli, #1)",,3.98,22206,23079,147,236,1117,5602,7948,8176,https://images.gr-assets.com/books/1388212602m/651260.jpg,https://images.gr-assets.com/books/1388212602s/651260.jpg,,fantasy
6364,28923,28923,3333606,74,571225403,9.78057E+12,Kazuo Ishiguro,2000,When We Were Orphans,When We Were Orphans,eng,3.45,13886,17018,1616,436,2011,6325,6023,2223,https://images.gr-assets.com/books/1465820100m/28923.jpg,https://images.gr-assets.com/books/1465820100s/28923.jpg,,fiction
440,7315573,7315573,8842841,140,525951652,9.78053E+12,Ken Follett,2010,Fall of Giants,"Fall of Giants (The Century Trilogy, #1)",eng,4.26,168911,190478,11859,2009,5158,24893,68375,90043,https://images.gr-assets.com/books/1470384630m/7315573.jpg,https://images.gr-assets.com/books/1470384630s/7315573.jpg,,fiction
2751,58962,58962,449499,99,312941919,9.78031E+12,Michael Connelly,1997,Trunk Music,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",eng,4.15,34702,40002,1105,105,626,6805,18196,14270,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,crime
7488,11808919,11808919,15872322,24,,9.78098E+12,Marie Force,2011,"Maid for Love (Gansett Island Series, #1)","Maid for Love (Gansett Island Series, #1)",eng,3.98,14989,19754,1229,349,1021,4232,7220,6932,https://images.gr-assets.com/books/1402425002m/11808919.jpg,https://images.gr-assets.com/books/1402425002s/11808919.jpg,,romance
5273,49011,49011,47950,46,014017821X,9.78014E+12,Angela Carter,1979,The Bloody Chamber & Other Stories,The Bloody Chamber and Other Stories,eng,4.02,20438,25183,2060,408,1333,4853,9362,9227,https://images.gr-assets.com/books/1388633104m/49011.jpg,https://images.gr-assets.com/books/1388633104s/49011.jpg,,fantasy
5654,12922320,12922320,18077623,46,,,Karin Slaughter,2012,Criminal,"Criminal (Will Trent, #6)",eng,4.21,18592,21262,1796,171,522,3134,8309,9126,https://images.gr-assets.com/books/1334414049m/12922320.jpg,https://images.gr-assets.com/books/1334414049s/12922320.jpg,,crime
4000,5201089,5201089,6627900,43,1741663016,9.78174E+12,John Flanagan,2008,The Kings of Clonmel,"The Kings of Clonmel (Ranger's Apprentice, #8)",eng,4.29,30299,34595,971,323,715,4756,11454,17347,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,fantasy
6034,6373717,6373717,6561348,16,525421556,9.78053E+12,Nina LaCour,2009,Hold Still,Hold Still,en-US,3.99,16238,17546,1440,456,947,3584,5967,6592,https://images.gr-assets.com/books/1394240099m/6373717.jpg,https://images.gr-assets.com/books/1394240099s/6373717.jpg,,adult
583,10637766,10637766,14158688,65,1442426640,9.78144E+12,Becca Fitzpatrick,2011,Silence ,"Silence (Hush, Hush, #3)",eng,4.16,190722,197338,7290,4217,9307,32161,55811,95842,https://images.gr-assets.com/books/1362408152m/10637766.jpg,https://images.gr-assets.com/books/1362408152s/10637766.jpg,,adult
